record_id,slice_rank,case_id,role,record_relative_l2,late_relative_l2,spectrum_high_relative_l2,receiver_relative_l2
marm_r05_interp_right_shallow,5,interp_right_shallow,interpolation,0.46854719519615173,0.68375164270401,0.8395747542381287,0.34831905364990234
marm_r06_extrap_deep,6,extrap_deep,outside_train_position_range,0.6727847456932068,0.904670774936676,0.8977659940719604,0.4618457853794098
marm_r06_extrap_left,6,extrap_left,outside_train_position_range,0.620276689529419,0.7175576090812683,0.758380115032196,0.5822699069976807
marm_r06_extrap_right,6,extrap_right,outside_train_position_range,0.49161016941070557,0.6632457375526428,0.636370837688446,0.2878017723560333
marm_r06_interp_center,6,interp_center,interpolation,0.4065214991569519,0.5836791396141052,0.9489852786064148,0.30949023365974426
marm_r06_interp_left_deep,6,interp_left_deep,interpolation,0.4337238669395447,0.6433250308036804,0.8176183700561523,0.4053792357444763
marm_r06_interp_left_shallow,6,interp_left_shallow,interpolation,0.48267897963523865,0.715247631072998,0.723876416683197,0.3405761122703552
marm_r06_interp_right_deep,6,interp_right_deep,interpolation,0.490101158618927,0.7054057717323303,0.7017225027084351,0.33985382318496704
marm_r06_interp_right_shallow,6,interp_right_shallow,interpolation,0.4018075466156006,0.5691595673561096,0.8018825054168701,0.3160858154296875
marm_r07_extrap_deep,7,extrap_deep,outside_train_position_range,0.6710818409919739,0.8752531409263611,0.8876734375953674,0.5763488411903381
marm_r07_extrap_left,7,extrap_left,outside_train_position_range,0.5666728615760803,0.7363914847373962,0.7099405527114868,0.7782080769538879
marm_r07_extrap_right,7,extrap_right,outside_train_position_range,0.5185887217521667,0.7185860872268677,0.6154561638832092,0.4462662935256958
marm_r07_interp_center,7,interp_center,interpolation,0.3985881209373474,0.5097430348396301,0.9487983584403992,0.40806475281715393
marm_r07_interp_left_deep,7,interp_left_deep,interpolation,0.43940454721450806,0.6188412308692932,0.8594807386398315,0.37319058179855347
marm_r07_interp_left_shallow,7,interp_left_shallow,interpolation,0.4870973527431488,0.6189678311347961,0.7378671765327454,0.5060768723487854
marm_r07_interp_right_deep,7,interp_right_deep,interpolation,0.5177275538444519,0.7181153893470764,0.6949924826622009,0.39765456318855286
