scheme,courant_axis,points_per_wavelength,angle_deg,phase_velocity_ratio,phase_error_percent,stable
fd2,0.25,5.3,90.0,0.9455518316984021,-5.444816830159793,True
fd2,0.25,5.4,0.0,0.9475328373948547,-5.246716260514528,True
fd2,0.25,5.4,5.0,0.948381924531411,-5.161807546858899,True
fd2,0.25,5.4,10.0,0.9508225663938111,-4.917743360618887,True
fd2,0.25,5.4,15.0,0.9545498219058661,-4.5450178094133875,True
fd2,0.25,5.4,20.0,0.9591023265532136,-4.089767344678641,True
fd2,0.25,5.4,25.0,0.9639235435808675,-3.6076456419132485,True
fd2,0.25,5.4,30.0,0.9684322790553704,-3.1567720944629563,True
fd2,0.25,5.4,35.0,0.9720924665872556,-2.7907533412744434,True
fd2,0.25,5.4,40.0,0.9744741201372007,-2.5525879862799306,True
fd2,0.25,5.4,45.0,0.975299908463251,-2.4700091536749014,True
fd2,0.25,5.4,50.0,0.9744741201372007,-2.5525879862799306,True
fd2,0.25,5.4,55.0,0.9720924665872556,-2.7907533412744434,True
fd2,0.25,5.4,60.0,0.9684322790553704,-3.1567720944629563,True
fd2,0.25,5.4,65.0,0.9639235435808675,-3.6076456419132485,True
fd2,0.25,5.4,70.0,0.9591023265532136,-4.089767344678641,True
fd2,0.25,5.4,75.0,0.9545498219058661,-4.5450178094133875,True
fd2,0.25,5.4,80.0,0.9508225663938111,-4.917743360618887,True
fd2,0.25,5.4,85.0,0.948381924531411,-5.161807546858899,True
fd2,0.25,5.4,90.0,0.9475328373948547,-5.246716260514528,True
fd2,0.25,5.5,0.0,0.9494080236028092,-5.059197639719082,True
fd2,0.25,5.5,5.0,0.9502265780110674,-4.977342198893265,True
fd2,0.25,5.5,10.0,0.9525796081073423,-4.742039189265768,True
fd2,0.25,5.5,15.0,0.9561734996007767,-4.382650039922331,True
fd2,0.25,5.5,20.0,0.9605638149717345,-3.9436185028265514,True
fd2,0.25,5.5,25.0,0.9652141009126302,-3.4785899087369843,True
fd2,0.25,5.5,30.0,0.9695637471053921,-3.043625289460794,True
fd2,0.25,5.5,35.0,0.973095321426972,-2.690467857302803,True
fd2,0.25,5.5,40.0,0.9753935423432041,-2.460645765679592,True
fd2,0.25,5.5,45.0,0.9761904487552602,-2.3809551244739824,True
fd2,0.25,5.5,50.0,0.9753935423432041,-2.460645765679592,True
fd2,0.25,5.5,55.0,0.973095321426972,-2.690467857302803,True
fd2,0.25,5.5,60.0,0.9695637471053921,-3.043625289460794,True
fd2,0.25,5.5,65.0,0.9652141009126302,-3.4785899087369843,True
fd2,0.25,5.5,70.0,0.9605638149717345,-3.9436185028265514,True
fd2,0.25,5.5,75.0,0.9561734996007767,-4.382650039922331,True
fd2,0.25,5.5,80.0,0.9525796081073423,-4.742039189265768,True
fd2,0.25,5.5,85.0,0.9502265780110674,-4.977342198893265,True
fd2,0.25,5.5,90.0,0.9494080236028092,-5.059197639719082,True
fd2,0.25,5.6,0.0,0.9511847670887147,-4.881523291128531,True
fd2,0.25,5.6,5.0,0.9519744046792294,-4.802559532077055,True
fd2,0.25,5.6,10.0,0.9542444488052118,-4.575555119478825,True
fd2,0.25,5.6,15.0,0.957711986744849,-4.2288013255150965,True
fd2,0.25,5.6,20.0,0.9619485886391983,-3.80514113608017,True
fd2,0.25,5.6,25.0,0.9664368175835101,-3.3563182416489923,True
fd2,0.25,5.6,30.0,0.9706355805310717,-2.9364419468928316,True
fd2,0.25,5.6,35.0,0.9740451386010647,-2.5954861398935325,True
fd2,0.25,5.6,40.0,0.9762641888432444,-2.3735811156755604,True
